,article_link,headline,is_sarcastic
62,https://dailybonnet.com/larry-norman-updates-song-doesnt-devil-good-music/,Larry Norman Updates Song: “Why Doesn’t the Devil Have Any Good Music?”,1
63,https://dailybonnet.com/body-odour-bottled-sold-eau-de-menno-cologne/,Body Odour to be Bottled and Sold as ‘Eau de Menno’ Cologne,1
64,https://dailybonnet.com/single-uncle-elmer-refuses-date-women-wear-pants/,Single Uncle Elmer Refuses to Date Women Who Wear Pants,1
65,https://dailybonnet.com/brad-wall-wins-award-canadas-best-mennonite-premier/,Brad Wall Wins Award as Canada’s ‘Best Mennonite Premier’,1
66,https://dailybonnet.com/uncle-abe-really-pumped-meet-trump/,Uncle Abe Really Pumped to Meet Trump,1
67,https://dailybonnet.com/mennonite-church-hires-first-non-yoder-pastor/,Mennonite Church Hires First Non-Yoder Pastor,1
68,https://dailybonnet.com/special-number-not-special/,Special Number is Not All That Special,1
69,https://dailybonnet.com/clearbrook-votes-secede-abbotsford/,Clearbrook Votes to Secede from Abbotsford,1
70,https://dailybonnet.com/fraser-valley-mennonites-survive-winter-nothing-raspberry-preserves/,Fraser Valley Mennonites Survive Winter on Nothing but Raspberry Preserves,1
71,https://dailybonnet.com/kornelsen-school-reunion-sparks-old-flames/,Kornelsen School Reunion Sparks Old Flames,1
72,https://dailybonnet.com/grand-forks-north-dakota-completely-overrun-mennonites/,"Grand Forks, North Dakota ‘Completely Overrun’ With Mennonites",1
73,https://dailybonnet.com/anabaptists-gone-wild-mennonite-spring-break-pictures/,Anabaptists Gone Wild: A Mennonite Spring Break in Pictures,1
74,https://dailybonnet.com/mennonite-man-excommunicated-switching-john-deere/,Mennonite Man Excommunicated for Switching to John Deere,1
75,https://dailybonnet.com/beet-borscht-murder-scene/,Beet Borscht or Murder Scene?,1
76,https://dailybonnet.com/local-man-conflicted-hatred-donald-total-obsession-ivanka/,Local Man Caught Between Hatred of Donald and Rabid Obsession with Ivanka,1
77,https://dailybonnet.com/mennonite-woman-jumps-giant-shoofly-pie-church-picnic/,Mennonite Woman Jumps Out of Giant Shoofly Pie at Church Picnic,1
78,https://dailybonnet.com/fred-penners-cat-fails-return/,Fred Penner’s Cat Fails to Return,1
79,https://dailybonnet.com/old-time-religion-good-enough-uncle-henry/,That Old Time Religion is Good Enough for Uncle Henry,1
80,https://dailybonnet.com/spring-means-courting-season-mennonites/,Spring Means Courting Season for Eligible Mennonites,1
81,https://dailybonnet.com/wife-frustrated-husbands-inability-take-flattering-selfie/,Wife Frustrated With Husband’s Inability to Take a Flattering Selfie,1
82,https://dailybonnet.com/mennonites-demand-winnipeg-mayor-change-city-name-vanapag/,Mennonites Demand Winnipeg Mayor to Change the City Name to ‘Vanapag’,1
83,https://dailybonnet.com/city-mennonites-live-vicariously-farmville-app/,City Mennonites Live Vicariously Through ‘Farmville App’,1
84,https://dailybonnet.com/city-replace-surveillance-cameras-mennonite-ladies/,City to Replace Surveillance Cameras with Mennonite Ladies,1
85,https://dailybonnet.com/mennonite-dad-disciplines-toddler-live-bbc-television/,Mennonite Dad Disciplines Toddler Live on BBC Television,1
86,https://dailybonnet.com/irish-mennonites-celebrate-st-patricks-day-with-green-perogies/,Irish Mennonites Celebrate St. Patrick’s Day With Green Perogies,1
87,https://dailybonnet.com/manitoba-man-prepares-ark-annual-spring-thaw/,Manitoba Man Prepares Ark for Annual Spring Thaw,1
88,https://dailybonnet.com/grandpa-regales-youngsters-tales-cash-carry-toilet/,Grandpa Regales Youngsters With Tales of the Cash and Carry Toilet,1
89,https://dailybonnet.com/fancy-mennonite-restaurant-offers-200-21-course-tasting-menu/,Fancy Mennonite Restaurant Offers $200 21-course Tasting Menu,1
90,https://dailybonnet.com/silly-local-man-finally-removes-christmas-lights/,Silly Local Man Finally Removes His Christmas Lights,1
91,https://dailybonnet.com/thousands-of-mennonites-miss-church-due-to-time-change/,Thousands of Mennonites Miss Church Due to Time Change,1
92,https://dailybonnet.com/man-disappointed-russian-mennonite-mail-order-bride/,Man Disappointed with Russian Mennonite Mail Order Bride,1
93,https://dailybonnet.com/grandma-doesnt-believe-photo-will-reach-around-world/,My Grandma Doesn’t Believe This Photo Will Reach Around the World,1
94,https://dailybonnet.com/five-common-misconceptions-mennonites/,Five Common Misconceptions About Mennonites,1
95,https://dailybonnet.com/mennonite-woman-uses-tea-bag-record-ten-years/,Mennonite Woman Uses the Same Tea Bag for a Record Ten Years,1
96,https://dailybonnet.com/mennonite-woman-co-sleeps-15-children/,Mennonite Woman Co-sleeps With All 15 Children,1
97,https://dailybonnet.com/ted-falk-ted-talk/,Typo Leads Ted Falk Supporters to TED Talk,1
98,https://dailybonnet.com/kitchener-waterloo-renamed-waterloo-kitchener/,Kitchener-Waterloo to Be Renamed Waterloo-Kitchener,1
99,https://dailybonnet.com/religious-bumper-stickers-causing-accidents-southern-manitoba/,Religious Bumper Stickers Causing Accidents All Over Southern Manitoba,1
100,https://dailybonnet.com/census-steinbach-surpass-winnipeg-population-2217/,Census: Steinbach Population to Surpass Winnipeg by 2217,1
101,https://dailybonnet.com/conservative-mennonite-church-accidentally-elects-female-elder/,Conservative Mennonite Church Accidentally Elects Female Elder,1
102,https://dailybonnet.com/mennonites-fondly-reminisce-olden-days-chicken-meat-actually-contained-chicken/,Mennonites Fondly Reminisce About the Olden Days When Chicken Meat Actually Contained Chicken,1
103,https://dailybonnet.com/mennonite-man-brushes-german-read-bible-original-language/,Mennonite Man Brushes Up on His German to Read the Bible in Its ‘Original Language’,1
104,https://dailybonnet.com/top-ten-badass-russian-mennonite-surnames/,Top Ten Most Badass Russian Mennonite Surnames,1
105,https://dailybonnet.com/local-woman-introduces-new-extra-sour-funeral-pickles/,Local Woman Introduces New ‘Extra Sour’ Funeral Pickles,1
106,https://dailybonnet.com/mennonite-family-feeds-three-puppies-local-buffet/,Mennonite Family Feeds Hungry Puppies at Local Buffet,1
107,https://dailybonnet.com/choose-band-list-havent-seen-concert-uncle-corny-loewen/,‘Choose the band from this list I have not seen in concert’: by Uncle Corny Loewen,1
108,https://dailybonnet.com/nordstrom-sells-authentic-mennonite-worn-dirty-jeans-600/,Nordstrom Sells $600 ‘Authentic Mennonite-Worn’ Dirty Jeans,1
109,https://dailybonnet.com/trump-deploys-aircraft-carrier-attack-canadian-dairy-cows/,Trump Deploys Aircraft Carrier to Attack Canadian Dairy Cows,1
110,https://dailybonnet.com/church-singles-group-disbanded-three-decades-no-success/,Church Singles Group Disbanded After Three Decades Without Success,1
111,https://dailybonnet.com/steinbach-man-finally-earns-enough-airmiles-visit-winkler/,Steinbach Man Finally Earns Enough Airmiles to Visit Winkler,1
112,https://dailybonnet.com/raw-onions-0-effective-castor-oil-prevent-swearing/,Raw Onions 30% More Effective than Castor Oil to Prevent Swearing,1
113,https://dailybonnet.com/mennonite-man-shaves-beard-goatee-become-youth-pastor/,Mennonite Man Shaves Beard into Goatee to Become Youth Pastor,1
114,https://dailybonnet.com/mennonite-woman-caught-facebook-church-service/,Mennonite Woman Caught on Facebook During Church Service,1
115,https://dailybonnet.com/anabaptist-seminary-graduates-record-five-calvinists/,Anabaptist Seminary Graduates a Record Five Calvinists,1
116,https://dailybonnet.com/mennonite-grandmas-awarded-3-billion-damages-man-bun-lawsuit/,Mennonite Grandmas Awarded $3 Billion in Man Bun Lawsuit,1
117,https://dailybonnet.com/mennonite-couples-vow-save-meddachschlop-marriage/,Mennonite Couples Vow to Save Meddachschlop for Marriage,1
118,https://dailybonnet.com/police-raid-home-suspected-hosting-wild-night-tupperware-party/,Police Raid Home Suspected of Hosting Wild All-Night Tupperware Party,1
119,https://dailybonnet.com/car-air-conditioner-face-off-heated-seat-epic-battle-april/,Car Air Conditioner to Face Off Against Heated Seat in Epic Battle this April,1
120,https://dailybonnet.com/dutch-blitz-tournament-results-hundreds-casualties/,Dutch Blitz Tournament Results in Hundreds of Casualties,1
121,https://dailybonnet.com/mennonite-child-found-four-days-later-still-searching-easter-egg/,Mennonite Child Found Four Days Later Still Searching for Easter Egg,1
122,https://dailybonnet.com/mennonite-man-almost-fornicates-wife/,Mennonite Man Almost Fornicates With His Own Wife,1
123,https://dailybonnet.com/steinbachers-mourn-loss-taco-bell/,Steinbachers Mourn the Loss of Taco Bell,1
124,https://dailybonnet.com/quebec-separatists-demand-take-ste-anne-manitoba/,"Quebec Separatists Demand to Take Ste. Anne, Manitoba With Them",1
125,https://dailybonnet.com/dozens-mps-come-forward-house-commons-altar-call/,Dozens of MPs Come Forward During House of Commons Altar Call,1
126,https://dailybonnet.com/60-manitobans-claim-cousins-jonathan-toews/,60% of Manitobans Claim to be Cousins of Jonathan Toews,1
127,https://dailybonnet.com/henry-reimer-move-corner-henry-reimer/,Henry Reimer to Move to the Corner of Henry and Reimer,1
128,https://dailybonnet.com/pastor-shortens-sermon-to-allow-more-time-to-eat-paska-buns/,Pastor Shortens Sermon to Allow More Time to Eat Paska Buns,1
129,https://dailybonnet.com/mennonite-man-violently-tossed-airplane-midflight/,Mennonite Man Violently Tossed From Airplane in Midflight,1
130,https://dailybonnet.com/learn-meaning-behind-common-mennonite-first-name-mens-list/,Learn the Meaning Behind Your Common Mennonite First Name (Men’s List),1
131,https://dailybonnet.com/learn-meaning-behind-common-mennonite-first-name-womens-list/,Learn the Meaning Behind Your Common Mennonite First Name (Women’s List),1
132,https://dailybonnet.com/mennonite-woman-arrested-border-possession-poppyseed-cake/,Mennonite Woman Arrested at Border for Possession of Poppyseed Cake,1
133,https://dailybonnet.com/canada-geese-return-home-just-shit/,Canada Geese Return Home Just to Shit All Over It,1
134,https://dailybonnet.com/mennonites-north-korea/,Mennonites! Come Join the Glorious Nation of North Korea!,1
135,https://dailybonnet.com/albertans-christlike-attitude-notley-carbon-tax/,Albertans Gladly ‘Render Unto Notley What is Notley’s’,1
136,https://dailybonnet.com/check-wacky-dishes-inspired-daily-bonnet/,Check Out These Wacky Mennonite Dishes Inspired by the Daily Bonnet,1
137,https://dailybonnet.com/loewen-windows-employee-marry-barkman-concrete-employee/,Loewen Windows Employee to Marry Barkman Concrete Employee,1
138,https://dailybonnet.com/hip-new-church-bulletin-goes-comic-sans/,Hip New Church Bulletin Goes All Comic Sans,1
139,https://dailybonnet.com/mennonite-town-eagerly-anticipates-spanish-mans-arrival/,Mennonite Town Eagerly Anticipates Spanish Man’s Arrival,1
140,https://dailybonnet.com/trudeau-government-legalize-rhubarb-platz/,Justin Trudeau to Legalize Rhubarb Platz,1
141,https://dailybonnet.com/president-trump-now-tweeting-fluent-low-german/,President Trump Now Tweeting in Fluent Low German,1
142,https://dailybonnet.com/local-woman-renews-vows-facebook-ten-year-anniversary/,Local Woman Renews Her Vows to Facebook,1
143,https://dailybonnet.com/mennonite-boy-sneaks-glimpse-stanley-cup-finals-lutheran-neighbours-window/,Mennonite Boy Sneaks a Glimpse of Stanley Cup Finals from Lutheran Neighbour’s Window,1
144,https://dailybonnet.com/kleefeld-residents-six-months-picking-rocks/,Kleefeld Residents to Spend the Next Six Months Picking Rocks,1
145,https://dailybonnet.com/manitoba-government-introduces-strict-no-kill-policy-mosquito-conservation/,Manitoba Government Introduces Strict ‘No Kill’ Policy for Mosquitos,1
146,https://dailybonnet.com/faspa-cancelled-church-runs-bothwell-cheese/,Faspa Cancelled After Church Runs Out of Bothwell Cheese,1
147,https://dailybonnet.com/mennonite-couple-becomes-completely-obsessed-jollibee/,Mennonite Couple Becomes Completely Obsessed with Jollibee,1
148,https://dailybonnet.com/local-couple-not-nearly-rich-huge-wad-canadian-tire-money-suggests/,Local Couple Not Nearly as Rich as Huge Wad of Canadian Tire Money Suggests,1
149,https://dailybonnet.com/mennonite-pastor-forbids-standing-church-claims-leads-dancing/,"Mennonite Pastor Forbids Standing in Church, Claims it ‘Leads to Dancing’",1
150,https://dailybonnet.com/melania-trump-spotted-full-mennonite-attire/,Melania Trump Spotted on Kansas Farm in Full Mennonite Attire,1
151,https://dailybonnet.com/united-state-makes-110-billion-weapons-ebay/,United States Signs $110 Billion Weapons Deal with Random Guy on eBay,1
152,https://dailybonnet.com/seduce-mennonite-man-guide-pictures/,How to Seduce a Mennonite Man (A Guide in Pictures),1
153,https://dailybonnet.com/maid-honour-toasts-bride-glass-water/,Maid of Honour Toasts Bride With Glass of Water,1
154,https://dailybonnet.com/mennonites-paraguay-canadian-national-soccer-team/,Team of Paraguayan Mennonites Defeats Canadian National Soccer Team,1
155,https://dailybonnet.com/mennonite-mom-doesnt-realize-son-hipster/,Mennonite Mom Doesn’t Realize Her Son’s a Hipster,1
156,https://dailybonnet.com/mennonite-mans-long-list-chores-still-not-done/,Mennonite Man’s Long List of Chores Still Not Done,1
157,https://dailybonnet.com/bbq-utensils-used-pooper-scoopers-causes-confusion/,Chaos Erupts After Pooper Scooper is Confused for BBQ Tongs,1
158,https://dailybonnet.com/mennonite-man-claims-prophetic-gift-predicting-may-long-weekend-showers/,Mennonite Man Claims ‘Prophetic Gift’ After Predicting Rain this May Long Weekend,1
159,https://dailybonnet.com/guest-gets-totally-lost-way-100-huntley-street/,Guest Gets Totally Lost on the Way to 100 Huntley Street,1
160,https://dailybonnet.com/mennonite-child-accepts-lord-womb/,Mennonite Child Accepts the Lord in the Womb,1
161,https://dailybonnet.com/friesen-siblings-gather-20-year-home-school-reunion/,Friesen Siblings Gather for 20 Year Home School Reunion,1
162,https://dailybonnet.com/grandmas-bunion-surgery-goes-shockingly-wrong/,Grandma’s Bunion Surgery Goes Shockingly Wrong,1
163,https://dailybonnet.com/mennonite-man-finally-finishes-peace-shall-destroy-many/,Mennonite Man Finally Finishes ‘Peace Shall Destroy Many’,1
164,https://dailybonnet.com/strange-andor-creepy-google-search-words-led-people-daily-bonnet/,Strange and/or Creepy Google Search Words That Led People to the Daily Bonnet,1
165,https://dailybonnet.com/mike-pence-sworn-president-united-states/,Mike Pence Sworn in as President of the United States,1
166,https://dailybonnet.com/mennonite-couple-cant-figure-out-whether-to-go-to-winkler-or-morden-chicken-chef/,Mennonite Couple Can’t Figure Out Whether to Go to Winkler or Morden Chicken Chef,1
167,https://dailybonnet.com/trump-shares-highly-classified-information-gossipy-mennonite-lady/,Trump Shares Highly Classified Information with Gossipy Mennonite Lady,1
168,https://dailybonnet.com/mennonite-grandma-best-cook/,Which Mennonite Grandma is the Best Cook?,1
169,https://dailybonnet.com/mennonite-population-completely-unaffected-global-cyberattack/,Mennonite Population Completely Unaffected by Global Cyberattack,1
170,https://dailybonnet.com/mennonite-man-discovers-suspenders-no-good-bungee-jumping/,Mennonite Man Discovers Suspenders Are No Good for Bungee Jumping,1
171,https://dailybonnet.com/mennonite-woman-claps-along-worship-song/,Mennonite Woman Claps Along to Worship Song,1
172,https://dailybonnet.com/60-year-old-mennonite-woman-decides-retire-child-bearing/,60-Year-Old Mennonite Woman Decides to Retire from Child-Bearing,1
173,https://dailybonnet.com/winnipeg-man-survives-eating-fish-caught-red-river/,Winnipeg Man Survives Eating Fish Caught in Red River,1
174,https://dailybonnet.com/mennonite-couple-finally-consummates-marriage-fifth-wedding-anniversary/,Mennonite Couple Finally Consummates Marriage on Fifth Wedding Anniversary,1
175,https://dailybonnet.com/150-significant-moments-canadian-mennonite-history/,What Are the 150 Most Significant Moments in Canadian Mennonite History?,1
176,https://dailybonnet.com/report-cows-dont-like-tipped/,Report: Cows Don’t Like Being Tipped,1
177,https://dailybonnet.com/mennonite-woman-refuses-pay-superstore-bags/,Mennonite Woman Refuses to Pay for Superstore Bags,1
178,https://dailybonnet.com/retiring-teacher-quickly-consumes-30-years-worth-apples/,Retiring Teacher Quickly Consumes 30 Years Worth of Apples,1
179,https://dailybonnet.com/high-german-mennonite-still-clings-false-sense-superiority-low-german-mennonite/,High German Mennonite Clings Desperately to False Sense of Superiority Over Low German Mennonite,1
180,https://dailybonnet.com/margarine-mennonite-society-posts-declaration-principles/,Margarine Mennonite Society Posts Declaration of Principles,1
181,https://dailybonnet.com/trudeau-insists-kill-shot-flesh-wound/,Trudeau Insists Kill-Shot is ‘Merely a Flesh Wound’,1
182,https://dailybonnet.com/home-wrecker-wrecks-record-30th-home/,Homewrecker Wrecks Record 30th Home,1
183,https://dailybonnet.com/toronto-riots-discovering-not-centre-canada/,Toronto Riots After Discovering It’s Not the Centre of Canada,1
184,https://dailybonnet.com/richards-dawkins-finally-comes-forward-local-big-tent-revival-meeting/,Richard Dawkins Comes Forward at Tent Revival Meeting,1
185,https://dailybonnet.com/mennonite-sniper-sets-record-longest-deliberately-missed-shot/,Mennonite Sniper Sets Record for World’s Longest Deliberately-Missed Shot,1
186,https://dailybonnet.com/guy-fieri-quits-show-discovering-mennonite-food/,Guy Fieri Quits Show After Discovering Mennonite Food,1
187,https://dailybonnet.com/10-famous-people-didnt-know-mennonite/,10 Famous People You Didn’t Know Were Mennonite,1
188,https://dailybonnet.com/canadian-football-league-add-third-team-named-rough-riders/,Canadian Football League to Add Third Team Named ‘Rough Riders’,1
189,https://dailybonnet.com/wonder-oil-added-town-drinking-water/,Wonder Oil to be Added to Town Drinking Water,1
190,https://dailybonnet.com/schmaunt-fat-prices-soar-record-highs/,Schmaunt Fat Prices Soar to Record Highs,1
191,https://dailybonnet.com/mormon-missionaries-find-mennonite-town-totally-confusing/,Mormon Missionaries Find Mennonite Town ‘Totally Confusing’,1
192,https://dailybonnet.com/mennonites-storm-mcc-store/,Radical Mennonites Storm MCC Store,1
193,https://dailybonnet.com/west-edmonton-mall-opens-mennonite-theme-room/,West Edmonton Mall Opens Up Mennonite Theme Room,1
194,https://dailybonnet.com/hippies-mistake-steinbachs-summer-festival-woodstock/,Hippies Mistake Steinbach’s Summer Festival for Woodstock,1
195,https://dailybonnet.com/tom-cochrane-will-attempt-get-mennonites-sing-along-rock-songs-tonight/,Tom Cochrane Will Attempt to Get Mennonites to Sing Along to Rock Songs Tonight,1
196,https://dailybonnet.com/mennonite-man-sells-tomato-juice-miracle-cure/,Mennonite Man Sells Tomato Juice Miracle Cure,1
197,https://dailybonnet.com/local-construction-crew-lasts-almost-20-minutes-without-vulgar-comment/,Local Construction Crew Lasts Almost 20 Minutes Without a Vulgar Comment,1
198,https://dailybonnet.com/daily-bonnet-travel-guide-southern-manitoba/,A Daily Bonnet Travel Guide to Manitoba Mennonite Country,1
199,https://dailybonnet.com/fda-approves-sale-mennonite-viagra/,FDA Approves the Sale of ‘Mennonite Viagra’,1
200,https://dailybonnet.com/dutch-blitz-players-now-required-wear-full-body-armour/,Dutch Blitz Players Now Required to Wear Full Body Armour,1
201,https://dailybonnet.com/lemonade-stand-money-goes-directly-dad/,Lemonade Stand Money Goes Directly to Dad,1
202,https://dailybonnet.com/mennonite-man-accidentally-consumes-vegetable/,Mennonite Man Accidentally Consumes a Vegetable,1
203,https://dailybonnet.com/man-takes-naked-anabaptist-far-literally/,Man Takes ‘Naked Anabaptist’ Far Too Literally,1
204,https://dailybonnet.com/mennonites-overwhelmingly-prefer-adam-west-batman/,Mennonites Overwhelmingly Prefer Adam West to Any Other Batman,1
205,https://dailybonnet.com/winkler-manitoba-honour-city-founder-fonzie-huge-new-statue/,Winkler Manitoba to Honour City Founder ‘Fonzie’,1
206,https://dailybonnet.com/daring-local-man-arrives-job-site-japanese-truck/,Courageous Local Man Arrives on Job Site in Japanese Truck,1
207,https://dailybonnet.com/church-threatens-leave-town-unless-government-pays-massive-new-building/,Calgary Church Threatens to Leave Town Unless Government Pays for Massive New Building,1
208,https://dailybonnet.com/local-man-wins-pulitzer-prize-pointing-fake-news-facebook/,Local Man Wins Pulitzer Prize for Pointing Out Fake News on Facebook,1
